event_name,radius_name,radius_km,f_klein_hz,f_gw_hz,snr_original,snr_klein,resonance_factor,improvement_ratio,ligo_optimal_range,ligo_marginal_range,mass_1,mass_2,distance_mpc,gps_time
GW230825_041334,Klein_Empirical_8400km,8400.0,5.680172808615407,60.382831515882394,8.8,10.561707711805742,1.2001940581597432,1.2001940581597432,False,False,45.0,27.8,4600.0,1376972032.5
GW230824_135331,Klein_Empirical_8400km,8400.0,5.680172808615407,,9.7,9.7,1.0,1.0,False,False,,,,1376920429.9
GW230824_033047,Klein_Empirical_8400km,8400.0,5.680172808615407,49.39179926242964,11.1,13.323373271670766,1.2003038983487178,1.2003038983487178,False,False,53.0,36.0,4600.0,1376883065.7
GW230823_142524,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.8,8.8,1.0,1.0,False,False,,,,1376835942.6
GW230822_230337,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.3,8.3,1.0,1.0,False,False,,,,1376780635.5
GW230820_212515,Klein_Empirical_8400km,8400.0,5.680172808615407,45.790313899544145,9.3,11.163356472427571,1.2003609110137172,1.2003609110137172,False,False,64.0,32.0,3900.0,1376601934.0
GW230819_171910,Klein_Empirical_8400km,8400.0,5.680172808615407,41.470472965624886,9.9,11.884487358213395,1.2004532685064035,1.2004532685064035,False,False,73.0,33.0,3800.0,1376500768.4
GW230817_212349,Klein_Empirical_8400km,8400.0,5.680172808615407,,7.8,7.8,1.0,1.0,False,False,,,,1376342647.1
GW230814_230901,Klein_Empirical_8400km,8400.0,5.680172808615407,70.90113119929417,43.0,51.605870252277406,1.2001365174948233,1.2001365174948233,False,False,33.6,28.4,280.0,1376089759.8
GW230814_061920,Klein_Empirical_8400km,8400.0,5.680172808615407,38.22495769005425,11.2,13.446139295521544,1.2005481513858522,1.2005481513858522,False,False,72.0,43.0,3600.0,1376029178.5
GW230811_032116,Klein_Empirical_8400km,8400.0,5.680172808615407,75.6604153933948,13.6,16.32161270529415,1.2001185812716288,1.2001185812716286,False,False,36.4,21.7,2000.0,1375759294.3
GW230807_205045,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.7,8.7,1.0,1.0,False,False,,,,1375476663.4
GW230806_204041,Klein_Empirical_8400km,8400.0,5.680172808615407,51.1147690041423,9.4,11.282644126550647,1.2002812900585793,1.2002812900585793,False,False,51.0,35.0,5500.0,1375389659.9
GW230805_034249,Klein_Empirical_8400km,8400.0,5.680172808615407,79.92491153374978,9.5,11.401000834854875,1.2001053510373552,1.2001053510373552,False,False,32.3,22.7,3300.0,1375242188.0
GW230803_033412,Klein_Empirical_8400km,8400.0,5.680172808615407,58.61160179141651,9.4,11.281948256834548,1.2002072613653774,1.2002072613653774,False,False,46.0,29.0,4800.0,1375068870.4
GW230731_215307,Klein_Empirical_8400km,8400.0,5.680172808615407,242.86575327935017,12.2,14.640125943679225,1.2000103232523955,1.2000103232523955,False,False,10.3,7.8,1110.0,1374875605.9
GW230729_082317,Klein_Empirical_8400km,8400.0,5.680172808615407,219.7935067178119,9.5,11.400120345186222,1.2000126679143392,1.2000126679143392,False,False,12.4,7.6,1620.0,1374654215.2
GW230728_083628,Klein_Empirical_8400km,8400.0,5.680172808615407,,13.1,13.1,1.0,1.0,False,False,,,,1374568606.9
GW230726_002940,Klein_Empirical_8400km,8400.0,5.680172808615407,69.44502581921388,10.5,12.601499642412154,1.2001428230868718,1.2001428230868718,False,False,35.3,28.0,2000.0,1374366598.1
GW230723_101834,Klein_Empirical_8400km,8400.0,5.680172808615407,159.84982306749956,10.1,12.120246781901493,1.200024433851633,1.200024433851633,False,False,16.7,10.8,1580.0,1374142732.4
GW230723_084820,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.4,8.4,1.0,1.0,False,False,,,,1374137318.4
GW230721_222634,Klein_Empirical_8400km,8400.0,5.680172808615407,,7.9,7.9,1.0,1.0,False,False,,,,1374013612.8
GW230717_102139,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.3,8.3,1.0,1.0,False,False,,,,1373624517.1
GW230712_090405,Klein_Empirical_8400km,8400.0,5.680172808615407,101.28733028470594,9.5,11.400603563635396,1.2000635330142522,1.2000635330142522,False,False,32.0,11.4,1900.0,1373187863.9
GW230709_122727,Klein_Empirical_8400km,8400.0,5.680172808615407,58.61160179141651,10.2,12.242114065926849,1.2002072613653774,1.2002072613653774,False,False,45.0,30.0,4500.0,1372940865.2
GW230709_063445,Klein_Empirical_8400km,8400.0,5.680172808615407,,7.9,7.9,1.0,1.0,False,False,,,,1372919703.1
