event_name,catalog,observing_run,m1_solar,m2_solar,M_total_solar,energy_radiated,luminosity_distance_Mpc,snr,epsilon_max,final_state,mode_parity
GW231129_081745,GWTC-4.0,O4a,45.0,23.8,69.0,3.0,3800.0,9.4,0.30788013813439297,Klein_extrema,0
GW231206_233134,GWTC-4.0,O4a,35.6,28.1,63.5,2.8999999999999986,3200.0,12.8,0.30239184861952284,Klein_extrema,0
GW231206_233901,GWTC-4.0,O4a,37.6,28.4,66.0,2.8999999999999986,1490.0,21.9,0.30239184861952284,Klein_extrema,0
GW231213_111417,GWTC-4.0,O4a,35.5,27.2,62.5,3.0,4000.0,10.4,0.30788013813439297,Klein_extrema,0
GW231221_135041,GWTC-4.0,O4a,47.0,28.0,76.0,4.0,4600.0,10.0,0.3531287701087048,Klein_extrema,1
GW231223_032836,GWTC-4.0,O4a,46.0,31.0,76.0,3.0,4200.0,10.2,0.30788013813439297,Klein_extrema,0
GW231223_075055,GWTC-4.0,O4a,11.9,6.8,19.0,0.8999999999999986,970.0,9.4,0.13533876473784778,Klein_relajada,-1
GW231223_202619,GWTC-4.0,O4a,11.1,8.3,19.6,0.9000000000000021,890.0,10.0,0.13533876787793003,Klein_relajada,-1
GW231224_024321,GWTC-4.0,O4a,9.3,7.3,16.66,0.7699999999999996,950.0,14.0,0.11938023745650621,Klein_relajada,-1
GW231226_101520,GWTC-4.0,O4a,40.1,35.0,74.8,3.3999999999999915,1180.0,34.7,0.32678998698197237,Klein_extrema,1
GW231230_170116,GWTC-4.0,O4a,54.0,35.0,89.0,4.0,5700.0,8.2,0.3531287701087048,Klein_extrema,1
GW231231_154016,GWTC-4.0,O4a,22.5,17.2,39.9,1.7999999999999972,1070.0,13.4,0.22791318941673006,Klein_deformada,0
GW240104_164932,GWTC-4.0,O4a,42.3,32.1,74.3,3.700000000000003,1910.0,14.8,0.34051876649594787,Klein_extrema,1
GW240107_013215,GWTC-4.0,O4a,59.0,32.0,91.0,4.0,5800.0,9.6,0.3531287701087048,Klein_extrema,1
GW240109_050431,GWTC-4.0,O4a,28.8,18.1,47.1,2.0,1510.0,10.4,0.24374085067498738,Klein_deformada,0
GW250114_082203,O4_Discovery_Papers,O4a,33.6,32.2,65.8,3.0999999999999943,403.0,0.0,0.3117866249203234,Klein_extrema,1
