event_id,detection_category,system_type,total_mass,distance_mpc,snr_network,epsilon_max,klein_activated,snr_enhanced,klein_enhancement
SIM_004386,non_detection,BBH,25.494557811113424,1462.953647716581,0.49157435469558575,0.05803528309522219,False,0.49157435469558575,1.0
SIM_004387,non_detection,BBH,110.48922256239484,2683.205934475186,0.3918437454126788,0.2270538810084265,False,0.3918437454126788,1.0
SIM_004388,non_detection,BBH,65.48444679829575,1887.8364743440068,0.7081716222937765,0.12559477654682374,False,0.7081716222937765,1.0
SIM_004389,non_detection,BBH,17.098670644399757,2872.1997942862718,0.12270235416120123,0.03987563763141533,False,0.12270235416120123,1.0
SIM_004390,non_detection,BBH,66.64232934449225,1478.368704632855,0.47645566454091803,0.11291100419663225,False,0.47645566454091803,1.0
SIM_004391,non_detection,BBH,82.15331468495779,2385.810630468001,1.0173792951680347,0.14648051038823479,False,1.0173792951680347,1.0
SIM_004392,non_detection,BBH,62.69422399047443,2974.8436844189964,0.3107807935146888,0.13669614943199052,False,0.3107807935146888,1.0
SIM_004393,non_detection,BBH,43.18880706286108,2124.69697698574,0.2551763893057037,0.08623936118019906,False,0.2551763893057037,1.0
SIM_004394,non_detection,BNS,2.9260247242565507,2443.261816337598,0.01453191194106256,0.006524082202107031,False,0.01453191194106256,1.0
SIM_004395,non_detection,BNS,4.077167309637764,2621.430541330269,0.025272693961286424,0.009058150126314429,False,0.025272693961286424,1.0
SIM_004396,non_detection,BBH,110.46667374532032,2452.5369150280885,0.600938570700999,0.2173733592731846,False,0.600938570700999,1.0
SIM_004397,non_detection,BBH,90.15710155884727,2738.7550802330006,0.34914012899147845,0.19269916085150385,False,0.34914012899147845,1.0
SIM_004398,non_detection,BBH,64.69976148374768,2692.5649425108168,0.2747493498111752,0.13659803004340634,False,0.2747493498111752,1.0
SIM_004399,non_detection,BBH,42.70909727277096,912.9967706410043,0.4325911744421026,0.0889276830080488,False,0.4325911744421026,1.0
SIM_004400,non_detection,BBH,94.79803873954961,2979.0542257991865,0.5262300736948099,0.18372715810964824,False,0.5262300736948099,1.0
SIM_004401,non_detection,BBH,86.79239425251802,2795.8137871070044,0.34109340002287497,0.1854461808360105,False,0.34109340002287497,1.0
SIM_004402,non_detection,BBH,116.05808739188433,2737.7913527867695,1.0432472389935963,0.2378686424482317,False,1.0432472389935963,1.0
SIM_004403,non_detection,BNS,3.342426085695444,2467.0125720602127,0.03240383887889203,0.00742563900156314,False,0.03240383887889203,1.0
SIM_004404,non_detection,BBH,110.62598322940056,2751.218327186124,0.4291352225228975,0.22648517965048162,False,0.4291352225228975,1.0
SIM_004405,non_detection,BBH,33.41441416397825,2238.3435758972196,0.14796692733719455,0.07563082415486622,False,0.14796692733719455,1.0
SIM_004406,non_detection,BNS,3.4247148156172598,2280.337899084298,0.04221911109571652,0.00759695662273276,False,0.04221911109571652,1.0
SIM_004407,non_detection,BBH,9.798678341083955,2216.1249626011977,0.12436892302369157,0.017075271235434814,False,0.12436892302369157,1.0
SIM_004408,non_detection,BBH,22.64919494927658,1681.6069856581285,0.42482421252105024,0.0522049923440828,False,0.42482421252105024,1.0
SIM_004409,non_detection,BBH,57.52130560509378,2285.3031476814017,0.19698286626865064,0.12754461488425498,False,0.19698286626865064,1.0
SIM_004410,non_detection,BBH,97.60995023189392,1286.0203954879323,1.5428540634454164,0.1987898714886385,False,1.5428540634454164,1.0
SIM_004411,non_detection,BBH,82.66760796510941,2136.229868578381,0.7196302383207618,0.15396608082435326,False,0.7196302383207618,1.0
SIM_004412,non_detection,BBH,104.02952026628958,1606.932174994462,2.373956787514201,0.18649193222447535,False,2.373956787514201,1.0
SIM_004413,non_detection,BBH,55.460005522765854,2174.3199046990608,0.5278405752427027,0.10249232639695705,False,0.5278405752427027,1.0
SIM_004414,non_detection,BBH,8.154758173435564,2121.6964318136215,0.06427468565796304,0.014554295122995147,False,0.06427468565796304,1.0
SIM_004415,non_detection,BBH,60.366909290861514,2886.040292254259,0.8766038464904994,0.13443651183092747,False,0.8766038464904994,1.0
SIM_004416,non_detection,BBH,29.669653481324463,2522.463464423508,0.16426794051462668,0.06334870476502415,False,0.16426794051462668,1.0
SIM_004417,non_detection,BBH,77.52439285939823,2552.936703858778,0.3737919978898018,0.16663280987784165,False,0.3737919978898018,1.0
SIM_004418,non_detection,BBH,17.954387679444515,2906.8836205424054,0.05266211045397767,0.041951589820580004,False,0.05266211045397767,1.0
SIM_004419,non_detection,BNS,3.0185344328473582,1669.488438138289,0.056789549035128124,0.006244260374030266,False,0.056789549035128124,1.0
SIM_004420,non_detection,BBH,117.54479777537901,2828.3042677670564,0.28627208951622213,0.2338364161610404,False,0.28627208951622213,1.0
SIM_004421,non_detection,BBH,40.27670414347801,2898.8618226646045,0.2757131068562933,0.08667028216221208,False,0.2757131068562933,1.0
SIM_004422,non_detection,BBH,47.907590110455885,1778.728603039027,0.502043848036412,0.10583712227571183,False,0.502043848036412,1.0
SIM_004423,non_detection,BNS,2.1312752371368924,2659.1367382080966,0.026619495716958513,0.004673555296256423,False,0.026619495716958513,1.0
SIM_004424,non_detection,BNS,2.782428327493208,1939.0238983888257,0.036674795481192686,0.006151840606048644,False,0.036674795481192686,1.0
SIM_004425,non_detection,BBH,42.562458855918734,2657.5734296573714,0.3958704021029257,0.08772960263540248,False,0.3958704021029257,1.0
SIM_004426,non_detection,BBH,63.05936651383942,2499.8821595442582,0.49349119195610236,0.12071681326009295,False,0.49349119195610236,1.0
SIM_004427,non_detection,BBH,15.584345434629187,2427.1237427307187,0.11843976039677284,0.027205825993371076,False,0.11843976039677284,1.0
SIM_004428,non_detection,BBH,84.1438625555122,2789.6998812511147,0.4541394302373887,0.16046344939248805,False,0.4541394302373887,1.0
SIM_004429,non_detection,BBH,28.865970249427573,2236.9789534503407,0.22268936864559796,0.06367737452777798,False,0.22268936864559796,1.0
SIM_004430,non_detection,BBH,35.60495149527875,2041.414928486241,0.22399101908416463,0.07747766683091968,False,0.22399101908416463,1.0
SIM_004431,non_detection,BBH,106.8332641476875,2712.355708530979,0.2603080204716942,0.22066830406438795,False,0.2603080204716942,1.0
SIM_004432,non_detection,BBH,66.0625374203031,2457.9600390859737,0.36481642197056274,0.14148053651224865,False,0.36481642197056274,1.0
SIM_004433,non_detection,BBH,12.462694880847923,2261.6686428964554,0.2690664112232953,0.027507217736980297,False,0.2690664112232953,1.0
SIM_004434,non_detection,BBH,31.93040620579474,2925.156464021859,0.2399845615541123,0.05775034375882255,False,0.2399845615541123,1.0
SIM_004435,non_detection,BBH,31.236730511141864,2848.8578440335928,0.4034774457697754,0.07241102081130171,False,0.4034774457697754,1.0
SIM_004436,non_detection,BBH,8.454555739639828,2682.5038303310566,0.08010021446243334,0.01741932365460532,False,0.08010021446243334,1.0
SIM_004437,non_detection,BBH,85.37831059987185,1920.9293366400402,0.9455295331942023,0.17524550771773753,False,0.9455295331942023,1.0
SIM_004438,non_detection,BBH,57.09031681534381,1819.4818310782866,0.4786050908900191,0.09928974880252174,False,0.4786050908900191,1.0
SIM_004439,non_detection,BBH,66.77921228498421,2743.14717306523,0.42784631054272904,0.13710288614255675,False,0.42784631054272904,1.0
SIM_004440,non_detection,BBH,72.09092905860754,2932.681030685657,0.1866292527482707,0.15629918926625946,False,0.1866292527482707,1.0
SIM_004441,non_detection,BBH,44.28188065465898,2953.9007456632894,0.2658820280502233,0.09829447950277764,False,0.2658820280502233,1.0
SIM_004442,non_detection,BBH,19.006440160749523,1584.4784439249008,0.21134259743333716,0.037409652707798696,False,0.21134259743333716,1.0
SIM_004443,non_detection,BBH,68.95145717398816,2491.849888352592,0.6389175797172911,0.15199863929726679,False,0.6389175797172911,1.0
SIM_004444,non_detection,BBH,22.059420811097645,2104.7402806449763,0.09941931750760229,0.05111207376297426,False,0.09941931750760229,1.0
SIM_004445,non_detection,BBH,45.20100244452159,2519.8512616178355,0.3299297123001601,0.0965286831710896,False,0.3299297123001601,1.0
SIM_004446,non_detection,BBH,99.06263634575268,2857.6204577045514,0.5009868259177694,0.20145928405488425,False,0.5009868259177694,1.0
