ell,c_ell_tt_standard,c_ell_tt_klein,c_ell_eb_klein,klein_enhancement,parity_violation,klein_multipole,klein_window
121,10597.300611537197,10597.300611537197,0.0,0.0,0.0,1.4810502488509167e+23,0.0
122,10513.011234546271,10513.011234546271,0.0,0.0,0.0,1.4810502488509167e+23,0.0
123,10430.057767300308,10430.057767300308,0.0,0.0,0.0,1.4810502488509167e+23,0.0
124,10348.40831460506,10348.40831460506,0.0,0.0,0.0,1.4810502488509167e+23,0.0
125,10268.031991903385,10268.031991903385,0.0,0.0,0.0,1.4810502488509167e+23,0.0
126,10188.89888548476,10188.89888548476,0.0,0.0,0.0,1.4810502488509167e+23,0.0
127,10110.980014562452,10110.980014562452,0.0,0.0,0.0,1.4810502488509167e+23,0.0
128,10034.247295116757,10034.247295116757,0.0,0.0,0.0,1.4810502488509167e+23,0.0
129,9958.673505408966,9958.673505408966,0.0,0.0,0.0,1.4810502488509167e+23,0.0
130,9884.232253076705,9884.232253076705,0.0,0.0,0.0,1.4810502488509167e+23,0.0
131,9810.89794372648,9810.89794372648,0.0,0.0,0.0,1.4810502488509167e+23,0.0
132,9738.645750944577,9738.645750944577,0.0,0.0,0.0,1.4810502488509167e+23,0.0
133,9667.451587652024,9667.451587652024,0.0,0.0,0.0,1.4810502488509167e+23,0.0
134,9597.292078733828,9597.292078733828,0.0,0.0,0.0,1.4810502488509167e+23,0.0
135,9528.14453487677,9528.14453487677,0.0,0.0,0.0,1.4810502488509167e+23,0.0
136,9459.986927553862,9459.986927553862,0.0,0.0,0.0,1.4810502488509167e+23,0.0
137,9392.797865097282,9392.797865097282,0.0,0.0,0.0,1.4810502488509167e+23,0.0
138,9326.556569804798,9326.556569804798,0.0,0.0,0.0,1.4810502488509167e+23,0.0
139,9261.24285602799,9261.24285602799,0.0,0.0,0.0,1.4810502488509167e+23,0.0
140,9196.837109193406,9196.837109193406,0.0,0.0,0.0,1.4810502488509167e+23,0.0
141,9133.320265710623,9133.320265710623,0.0,0.0,0.0,1.4810502488509167e+23,0.0
142,9070.673793723734,9070.673793723734,0.0,0.0,0.0,1.4810502488509167e+23,0.0
143,9008.879674665188,9008.879674665188,0.0,0.0,0.0,1.4810502488509167e+23,0.0
144,8947.920385573205,8947.920385573205,0.0,0.0,0.0,1.4810502488509167e+23,0.0
145,8887.778882136117,8887.778882136117,0.0,0.0,0.0,1.4810502488509167e+23,0.0
146,8828.438582428966,8828.438582428966,0.0,0.0,0.0,1.4810502488509167e+23,0.0
147,8769.883351309596,8769.883351309596,0.0,0.0,0.0,1.4810502488509167e+23,0.0
148,8712.097485443179,8712.097485443179,0.0,0.0,0.0,1.4810502488509167e+23,0.0
149,8655.065698925873,8655.065698925873,0.0,0.0,0.0,1.4810502488509167e+23,0.0
150,8598.773109479771,8598.773109479771,0.0,0.0,0.0,1.4810502488509167e+23,0.0
151,8543.20522519279,8543.20522519279,0.0,0.0,0.0,1.4810502488509167e+23,0.0
152,8488.34793177862,8488.34793177862,0.0,0.0,0.0,1.4810502488509167e+23,0.0
153,8434.187480332961,8434.187480332961,0.0,0.0,0.0,1.4810502488509167e+23,0.0
154,8380.710475563712,8380.710475563712,0.0,0.0,0.0,1.4810502488509167e+23,0.0
155,8327.903864473781,8327.903864473781,0.0,0.0,0.0,1.4810502488509167e+23,0.0
156,8275.754925476325,8275.754925476325,0.0,0.0,0.0,1.4810502488509167e+23,0.0
157,8224.251257923246,8224.251257923246,0.0,0.0,0.0,1.4810502488509167e+23,0.0
158,8173.380772028751,8173.380772028751,0.0,0.0,0.0,1.4810502488509167e+23,0.0
159,8123.131679170662,8123.131679170662,0.0,0.0,0.0,1.4810502488509167e+23,0.0
160,8073.492482553062,8073.492482553062,0.0,0.0,0.0,1.4810502488509167e+23,0.0
161,8024.451968214613,8024.451968214613,0.0,0.0,0.0,1.4810502488509167e+23,0.0
162,7975.999196367762,7975.999196367762,0.0,0.0,0.0,1.4810502488509167e+23,0.0
163,7928.123493054635,7928.123493054635,0.0,0.0,0.0,1.4810502488509167e+23,0.0
164,7880.814442106224,7880.814442106224,0.0,0.0,0.0,1.4810502488509167e+23,0.0
165,7834.061877392041,7834.061877392041,0.0,0.0,0.0,1.4810502488509167e+23,0.0
