event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW200322_091133,GWTC-3-confident,1,1268903511.3,38.0,-22.0,130.0,11.3,-6.0,24.3,50.0,-22.0,132.0,48.0,-22.0,132.0,15.0,-4.0,29.5,3500.0,-2200.0,12500.0,0.59,-0.32,1.43,4.5,-3.0,2.7,0.27,-0.58,0.54,140.0,0.61501,,,,O3a,2.0
GW230518_125908,GWTC-4.0,1,1368449966.2,8.17,-0.92,0.84,1.45,-0.1,0.13,9.61,-0.79,0.76,,,,2.8,-0.06,0.06,236.0,-96.0,108.0,0.05,-0.02,0.02,14.1,,,-0.01,-0.11,0.09,1e-05,0.99,,,,O4a,
GW230529_181500,GWTC-4.0,2,1369419318.7,3.66,-1.21,0.81,1.42,-0.22,0.6,5.08,-0.6,0.6,,,,1.94,-0.04,0.04,202.0,-98.0,103.0,0.04,-0.02,0.02,11.8,,,-0.1,-0.18,0.12,0.00022,0.99,,,,O4a,
GW230529_181500,O4_Discovery_Papers,1,1369419318.7,3.6,-1.2,0.8,1.4,-0.2,0.6,5.1,-0.6,0.6,,,,1.94,-0.04,0.04,201.0,-96.0,102.0,0.04,-0.02,0.02,11.6,,,-0.1,-0.17,0.12,0.001,,,,,O4a,
GW230531_141100,GWTC-4.0,1,1369577478.3,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,3.5,0.69,,,,O4a,
GW230601_224134,GWTC-4.0,1,1369694512.1,64.0,-13.0,17.0,44.0,-15.0,14.0,107.0,-15.0,22.0,102.0,-14.0,21.0,45.0,-7.3,10.0,3700.0,-1800.0,2100.0,0.6,-0.26,0.28,13.4,,,-0.03,-0.32,0.27,1e-05,0.99,,,,O4a,5.0
GW230603_174756,GWTC-4.0,1,1369849694.9,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,8.4,0.73,,,,O4a,
GW230605_065343,GWTC-4.0,1,1369983241.5,17.2,-3.5,6.5,11.1,-2.7,2.5,28.6,-2.8,4.0,27.3,-2.7,4.1,11.94,-0.94,0.96,1060.0,-480.0,610.0,0.21,-0.09,0.1,11.4,,,0.06,-0.1,0.16,1e-05,0.99,,,,O4a,1.3000000000000007
GW230606_004305,GWTC-4.0,1,1370047403.8,37.6,-7.6,13.4,25.8,-8.3,8.1,63.4,-8.3,13.4,60.7,-7.9,12.8,26.5,-3.6,5.7,2700.0,-1400.0,1500.0,0.48,-0.22,0.2,11.1,,,-0.11,-0.31,0.26,0.00041,0.99,,,,O4a,2.6999999999999957
GW230606_024545,GWTC-4.0,1,1370054763.5,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,3.2,0.88,,,,O4a,
GW230608_205047,GWTC-4.0,1,1370292665.2,48.0,-11.0,13.0,31.0,-11.0,11.0,79.0,-11.0,16.0,75.0,-11.0,15.0,32.8,-5.4,7.3,3500.0,-1700.0,2200.0,0.58,-0.26,0.29,10.2,,,0.04,-0.26,0.25,0.0012,0.99,,,,O4a,4.0
GW230609_010824,GWTC-4.0,1,1370308122.4,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,2.8,0.81,,,,O4a,
GW230609_064958,GWTC-4.0,1,1370328616.3,35.3,-6.9,10.7,25.2,-7.5,7.5,60.3,-8.0,12.9,57.8,-7.7,12.2,25.5,-3.6,5.8,3400.0,-1700.0,1900.0,0.56,-0.25,0.25,10.6,,,-0.14,-0.27,0.22,0.00014,0.99,,,,O4a,2.5
