name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G018.84+22.43,256.6066931,-1.5032817,3.030829,6.33571,3.603171,0.295964,15442.16142857143,13.614310128406961,4.2013761056263884e+23,5.886723959999999e+43,5.8941601678735225e-55,6.622651874015193e-05,1.9867955592998944e-05,6.622651864332981e-11
PSZ2 G018.92-33.64,309.2781317,-25.5929829,2.428256,4.7718,,,1000.0,0.7063510380217904,2.1797993033352453e+22,7.053444624916584e+44,5.05678720098075e-50,5.681783371888484,0.29999303354435536,9.999767784811846e-07
PSZ2 G019.12+31.23,249.1227334,3.1476374,1.673579,7.52636,6.649408,0.515759,28497.46285714286,13.873260182018763,4.2812880921709904e+23,1.025844651e+44,9.706914063665349e-55,0.00010906645015354324,3.271993491632308e-05,1.0906644972107693e-10
PSZ2 G019.48-80.97,2.8223237,-28.8688278,2.623613,8.86259,2.606369,0.182667,11170.152857142857,8.524815875631143,2.6307581792197707e+23,3.6332466299999996e+43,1.4817503439225606e-54,0.00016648880268792815,4.9946640344896105e-05,1.6648880114965368e-10
PSZ2 G020.08+37.47,244.0674803,6.913715,5.106621,4.72731,5.477802,0.689388,23476.294285714284,34.87299833147261,1.0761807285092448e+24,1.371192732e+44,8.16894205897193e-56,9.178586583114527e-06,2.7535759748570314e-06,9.178586582856771e-12
PSZ2 G020.21-36.84,313.008337,-25.4826159,2.406094,5.17455,,,1000.0,0.6999043735413406,2.159904896748577e+22,7.965018585353362e+44,5.869564124824978e-50,6.5950158705898625,0.2999988785176647,9.99996261725549e-07
PSZ2 G020.49-47.35,324.4985053,-27.7270179,3.760048,4.99537,,,1000.0,1.0937536272171289,3.3753236935920597e+22,7.55491189324259e+44,1.458834633500162e-50,1.6391400376406315,0.27820567595791,9.273522531930333e-07
PSZ2 G020.66+37.99,243.8319244,7.5709252,4.075245,5.3511,5.652531,0.641905,24225.132857142853,28.717458885974214,8.862207812211642e+23,1.2767490449999998e+44,1.3620802566346478e-55,1.5304272546456715e-05,4.591281763578557e-06,1.5304272545261855e-11
PSZ2 G021.02-29.04,305.1024838,-22.447902,2.49401,4.88909,,,1000.0,0.7254781012943963,2.238825420594507e+22,7.315094818677163e+44,4.840410750707912e-50,5.43866376484035,0.2999886713091268,9.999622376970894e-07
PSZ2 G021.08+38.00,243.9821976,7.859834,2.953274,5.37691,6.165772,0.641685,26424.737142857142,22.70076720718308,7.005456760136698e+23,1.2763114649999999e+44,2.7565777433757364e-55,3.097278363343524e-05,9.291835087059312e-06,3.097278362353104e-11
