name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,mass_error_low,mass_error_high,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G287.25+34.96,178.5643604,-26.1812013,5.123271,4.64267,,,,,1000.0,1.49029912369904,4.599063095735237e+22,6.76907981104816e+44,5.1670715636924e-51,5.1670715636924e-45,1.55012146910772e-45,5.1670715636924004e-51
PSZ2 G287.46+81.12,190.3634263,18.5406113,2.424733,7.40834,,,,,1000.0,0.705326238862661,2.1766367731301717e+22,1.3644551676765946e+45,9.824813826995855e-50,9.824813826995855e-44,2.9474441480987566e-44,9.824813826995855e-50
PSZ2 G287.54+58.63,184.9069644,-3.2840919,5.228045,4.75093,,,,,1000.0,1.5207766448737823,4.693116726080492e+22,7.007221716264925e+44,5.033669954553586e-51,5.033669954553586e-45,1.5101009863660758e-45,5.033669954553586e-51
PSZ2 G287.55-14.25,141.6886441,-70.7315109,3.487267,5.10112,,,,,1000.0,1.014404850769085,3.1304533694733967e+22,7.796078833653925e+44,1.8870241152870892e-50,1.8870241152870894e-44,5.661072345861268e-45,1.8870241152870892e-50
PSZ2 G287.56-28.32,94.2894669,-76.3514305,1.64229,7.20884,,,,,1000.0,0.4777227962096279,1.4742525491029117e+22,1.3097125576761217e+45,3.0351717737865627e-49,3.0351717737865627e-43,9.105515321359687e-44,3.0351717737865623e-49
PSZ2 G287.72+26.46,176.3119833,-34.4140352,3.610367,6.54596,,,,,1000.0,1.0502131892558353,3.2409579020435077e+22,1.1332818479667109e+45,2.471955841465536e-50,2.471955841465536e-44,7.415867524396609e-45,2.471955841465536e-50
PSZ2 G287.96-32.99,74.9073896,-75.796592,1.526738,11.04889,,,,,1000.0,0.44411008192188645,1.3705237128109416e+22,2.485168765970268e+45,7.168349467523657e-49,7.168349467523657e-43,2.150504840257097e-43,7.168349467523657e-49
PSZ2 G288.06-46.73,39.8015062,-67.1621151,6.94396,4.565,,,,,1000.0,2.019916085446424,6.233461039687664e+22,6.5999262817240476e+44,2.0233652257459698e-51,2.0233652257459698e-45,6.070095677237909e-46,2.0233652257459698e-51
PSZ2 G288.08-14.81,141.5744604,-71.4852075,2.209287,7.77626,,,,,1000.0,0.642655537858466,1.983234989831226e+22,1.467351198597209e+45,1.3968008428932435e-49,1.3968008428932435e-43,4.1904025286797305e-44,1.3968008428932435e-49
PSZ2 G288.15-39.04,55.0098811,-72.8198042,5.149283,5.80585,,,,,1000.0,1.4978657077828526,4.622413574217883e+22,9.46622076738368e+44,7.116937868611331e-51,7.116937868611332e-45,2.1350813605833995e-45,7.116937868611331e-51
PSZ2 G288.27+39.97,180.8168325,-21.5240966,1.597862,12.7063,,,,,1000.0,0.4647992148750272,1.4343703771043338e+22,3.064831264958611e+45,7.711619486411546e-49,7.711619486411546e-43,2.3134858459234638e-43,7.711619486411546e-49
PSZ2 G288.63-37.66,58.0609811,-74.0085625,1.492336,21.26239,,,,,1000.0,0.4341029457673683,1.3396416906380987e+22,6.634314136404355e+45,2.0490521561610647e-48,2.0490521561610648e-42,6.1471564684831945e-43,2.0490521561610647e-48
PSZ2 G288.87-32.97,73.7863641,-76.5192295,4.527145,4.70775,,,,,1000.0,1.3168930994199781,4.063932104810053e+22,6.911908812572839e+44,7.646833150050229e-51,7.64683315005023e-45,2.294049945015069e-45,7.646833150050229e-51
PSZ2 G289.13+72.19,188.6349217,9.7726858,2.285101,8.14828,,,,,1000.0,0.6647089365102491,2.051291778070629e+22,1.573898887170187e+45,1.3539962317796473e-49,1.3539962317796474e-43,4.061988695338942e-44,1.3539962317796473e-49
PSZ2 G289.30-28.95,91.0688695,-77.8445897,2.401357,5.19027,,,,,1000.0,0.6985264360968911,2.155652581795006e+22,8.00134207418459e+44,5.93129435280926e-50,5.93129435280926e-44,1.779388305842778e-44,5.93129435280926e-50
PSZ2 G290.19+30.16,179.9394542,-31.4301239,5.629625,5.28122,,,,,1000.0,1.637591531709763,5.053607466856328e+22,8.212574094362395e+44,4.724955573515519e-51,4.724955573515519e-45,1.4174866720546556e-45,4.724955573515519e-51
PSZ2 G290.38+37.57,181.9785845,-24.2359602,2.245826,4.65398,,,,,1000.0,0.6532843021149028,2.0160353563265903e+22,6.793830083939287e+44,6.1566319700960845e-50,6.156631970096085e-44,1.8469895910288255e-44,6.156631970096085e-50
PSZ2 G290.83-45.84,36.851874,-68.9655357,3.730222,4.88279,,,,,1000.0,1.0850775955054652,3.348549459729866e+22,7.300960210382359e+44,1.4438855585124464e-50,1.4438855585124466e-44,4.3316566755373395e-45,1.4438855585124466e-50
PSZ2 G291.34+14.70,176.4087925,-46.6819618,5.346317,4.55553,,,,,1000.0,1.5551805750890946,4.799287254724946e+22,6.57939981636229e+44,4.419559541795646e-51,4.4195595417956456e-45,1.3258678625386936e-45,4.419559541795646e-51
PSZ2 G291.34-55.31,26.3075529,-60.57281,3.798309,6.05496,,,,,1000.0,1.1048833009688883,3.4096698667899896e+22,1.0081956739362903e+45,1.8885599712381512e-50,1.8885599712381512e-44,5.665679913714453e-45,1.8885599712381512e-50
PSZ2 G292.04+22.91,179.9652754,-38.871185,3.296342,5.29504,,,,,1000.0,0.958867019529582,2.95906362226829e+22,8.244831411544457e+44,2.3628808152287633e-50,2.3628808152287634e-44,7.08864244568629e-45,2.3628808152287633e-50
PSZ2 G292.22-43.33,38.2250759,-71.6200155,3.314138,4.96132,,,,,1000.0,0.9640436660909972,2.9750387535568175e+22,7.477798720774144e+44,2.1087195986605304e-50,2.1087195986605304e-44,6.326158795981591e-45,2.1087195986605304e-50
PSZ2 G292.40-57.11,23.935018,-59.0910214,6.649845,4.62207,,,,,1000.0,1.9343614999547054,5.969439588860221e+22,6.72407717825995e+44,2.3472262341001599e-51,2.34722623410016e-45,7.04167870230048e-46,2.3472262341001599e-51
PSZ2 G292.56+21.97,180.2999806,-39.8836938,2.28011,11.69977,,,,,1000.0,0.6632571134607985,2.0468114521400243e+22,2.707970308719281e+45,2.3449486064640876e-49,2.344948606464088e-43,7.034845819392263e-44,2.3449486064640876e-49
PSZ2 G292.74+33.49,183.2032665,-28.629274,3.796201,4.53569,,,,,1000.0,1.1042701086250208,3.4077775552168143e+22,6.536465273965923e+44,1.2264566123201393e-50,1.2264566123201392e-44,3.6793698369604174e-45,1.2264566123201393e-50
PSZ2 G292.77-23.80,120.5493457,-80.2478583,1.817382,5.84627,,,,,1000.0,0.5286549944413265,1.6314293128459335e+22,9.56524756591442e+44,1.6357403856507232e-49,1.6357403856507233e-43,4.90722115695217e-44,1.6357403856507232e-49
PSZ2 G292.84-16.57,149.3359929,-75.9147339,1.702588,5.79838,,,,,1000.0,0.49526277341575353,1.5283809187610155e+22,9.447957312695655e+44,1.9650157991030654e-49,1.9650157991030655e-43,5.895047397309197e-44,1.9650157991030654e-49
PSZ2 G293.01-65.78,19.2765663,-50.8660006,3.615915,6.66498,,,,,1000.0,1.0518270370375127,3.2459382362977644e+22,1.1643302683779652e+45,2.52800761340102e-50,2.5280076134010206e-44,7.584022840203061e-45,2.5280076134010207e-50
PSZ2 G293.09+43.20,185.2897097,-19.0906391,2.288112,5.07061,,,,,1000.0,0.6655848009065415,2.053994695597587e+22,7.726240538393046e+44,6.620536998529971e-50,6.620536998529972e-44,1.9861610995589916e-44,6.620536998529971e-50
PSZ2 G293.12-70.85,17.4985926,-45.8768206,5.319799,6.50109,,,,,1000.0,1.547466801571697,4.775482549650257e+22,1.1216495319561692e+45,7.647655873452226e-51,7.647655873452226e-45,2.2942967620356678e-45,7.647655873452226e-51
PSZ2 G293.17-14.35,155.4660664,-74.3155732,2.078465,4.86264,,,,,1000.0,0.6046009606243989,1.8657985644868953e+22,7.255813132157384e+44,8.294969065950934e-50,8.294969065950934e-44,2.48849071978528e-44,8.294969065950933e-50
PSZ2 G293.35+07.33,176.3759241,-54.3299552,3.756292,4.82437,,,,,1000.0,1.0926610511053807,3.371952003711205e+22,7.17032472467179e+44,1.3887293579690032e-50,1.3887293579690032e-44,4.166188073907009e-45,1.3887293579690032e-50
PSZ2 G293.63+08.25,177.279619,-53.490872,2.934413,5.40672,,,,,1000.0,0.8535861410554061,2.634166831296983e+22,8.507045010429236e+44,3.4559849704932225e-50,3.4559849704932225e-44,1.0367954911479667e-44,3.4559849704932225e-50
PSZ2 G294.28-19.03,146.4837487,-78.6479688,5.823245,4.70985,,,,,1000.0,1.6939133066716199,5.227416464388619e+22,6.9165341517712784e+44,3.5954244447942224e-51,3.5954244447942226e-45,1.0786273334382668e-45,3.5954244447942224e-51
PSZ2 G294.36-29.53,83.131866,-82.0847902,1.475597,6.28114,,,,,1000.0,0.4292337680425128,1.3246154081791946e+22,1.0652109497950796e+45,3.403213221420318e-49,3.403213221420318e-43,1.0209639664260954e-43,3.403213221420318e-49
PSZ2 G294.37-14.33,159.2483266,-74.9184007,2.812605,5.57447,,,,,1000.0,0.8181536301342518,2.524822102594301e+22,8.906012200408889e+44,4.1087893919749806e-50,4.108789391974981e-44,1.2326368175924942e-44,4.1087893919749806e-50
PSZ2 G294.64+30.15,184.3980385,-32.1676562,2.584215,5.13815,,,,,1000.0,0.7517176721570876,2.3198007362767724e+22,7.881122533504574e+44,4.687691031328505e-50,4.687691031328506e-44,1.4063073093985518e-44,4.687691031328505e-50
PSZ2 G294.68-37.01,45.9910127,-77.9032088,7.223045,14.36911,,,,,1000.0,2.101098621161897,6.483990344905614e+22,3.685723197701103e+45,1.003965023371508e-50,1.003965023371508e-44,3.011895070114524e-45,1.0039650233715082e-50
PSZ2 G295.00-37.76,42.9758355,-77.4498096,3.695158,4.59584,,,,,1000.0,1.0748778913568104,3.3170731727271173e+22,6.666920293675131e+44,1.356385231606231e-50,1.3563852316062312e-44,4.0691556948186935e-45,1.356385231606231e-50
PSZ2 G295.19-56.99,21.1945244,-59.626368,4.459027,5.09113,,,,,1000.0,1.2970783764220866,4.002783869638559e+22,7.773188365348478e+44,8.999859182540858e-51,8.999859182540858e-45,2.6999577547622575e-45,8.999859182540858e-51
PSZ2 G295.25-21.55,139.7376779,-81.0529417,3.793603,6.60076,,,,,1000.0,1.1035143810589074,3.4054453799477886e+22,1.1475426228366488e+45,2.157595430373486e-50,2.1575954303734862e-44,6.472786291120458e-45,2.1575954303734857e-50
PSZ2 G295.34+23.34,183.8908345,-38.9929388,2.226462,9.76087,,,,,1000.0,0.6476515428422999,1.9986526612113376e+22,2.0635296092794022e+45,1.9192063489898743e-49,1.9192063489898746e-43,5.757619046969624e-44,1.9192063489898743e-49
PSZ2 G295.63-51.96,23.4045764,-64.5694042,1.697761,8.69176,,,,,1000.0,0.4938586560325241,1.5240478125163693e+22,1.7339617011065173e+45,3.637195710809174e-49,3.6371957108091735e-43,1.091158713242752e-43,3.637195710809174e-49
PSZ2 G295.92-39.39,36.5377538,-76.4194567,2.765686,5.29261,,,,,1000.0,0.8045054462718649,2.4827038071949753e+22,8.239156485138252e+44,3.9978911554209963e-50,3.9978911554209966e-44,1.199367346626299e-44,3.9978911554209963e-50
PSZ2 G296.27-52.05,22.452935,-64.5799025,3.159866,5.57605,,,,,1000.0,0.9191677603637189,2.8365517084824368e+22,8.909798882277782e+44,2.898803197124944e-50,2.8988031971249444e-44,8.696409591374832e-45,2.898803197124944e-50
PSZ2 G296.42-32.49,57.760252,-82.2162176,5.206198,9.50203,,,,,1000.0,1.5144216101790622,4.673505089012586e+22,1.9819947864484452e+45,1.4417743445193176e-50,1.4417743445193177e-44,4.325323033557953e-45,1.4417743445193176e-50
PSZ2 G296.91-07.00,175.8693177,-69.1016684,1.979201,6.06175,,,,,1000.0,0.5757262334794048,1.7766911565174432e+22,1.0098920271993986e+45,1.3370943908600277e-49,1.3370943908600278e-43,4.0112831725800833e-44,1.3370943908600277e-49
PSZ2 G297.16-44.90,25.9134866,-71.632463,2.091233,5.46878,,,,,1000.0,0.6083150212726429,1.877260155647376e+22,8.65393424625519e+44,9.713218289798368e-50,9.713218289798369e-44,2.9139654869395107e-44,9.713218289798368e-50
PSZ2 G297.31-34.68,43.991144,-81.0391578,5.033185,5.18834,,,,,1000.0,1.4640941685331799,4.5181946040933935e+22,7.996879544913335e+44,6.437966343780499e-51,6.4379663437805e-45,1.93138990313415e-45,6.437966343780499e-51
PSZ2 G297.64-11.94,173.7429101,-74.0284876,2.364176,6.46493,,,,,1000.0,0.687710921610491,2.122275904089975e+22,1.1123043922616494e+45,8.640543637319984e-50,8.640543637319985e-44,2.592163091195995e-44,8.640543637319984e-50
PSZ2 G297.84+26.03,187.1742426,-36.6157243,3.600073,5.79311,,,,,1000.0,1.0472187860358304,3.2317171737065727e+22,9.435079727937335e+44,2.0757186205758511e-50,2.0757186205758513e-44,6.227155861727553e-45,2.0757186205758511e-50
PSZ2 G297.91+31.43,187.8533032,-31.2421661,5.675094,4.96302,,,,,1000.0,1.6508179276695845,5.094424124788338e+22,7.481642459959269e+44,4.201792486508922e-51,4.201792486508922e-45,1.2605377459526766e-45,4.2017924865089216e-51
PSZ2 G297.97-67.74,15.702954,-49.259046,2.377233,11.57157,,,,,1000.0,0.6915090489510393,2.1339969250629073e+22,2.663583661161367e+45,2.0352038690397483e-49,2.0352038690397485e-43,6.105611607119245e-44,2.0352038690397483e-49
PSZ2 G298.56+13.53,186.3642942,-49.1152893,3.388017,8.14353,,,,,1000.0,0.985534196059012,3.0413585290381113e+22,1.5725228427631052e+45,4.1506589401690856e-50,4.150658940169086e-44,1.2451976820507257e-44,4.1506589401690856e-50
PSZ2 G299.38-57.32,16.5877415,-59.6948932,3.748661,4.6518,,,,,1000.0,1.0904412831850523,3.3651017999090715e+22,6.789057132055548e+44,1.3229328116463492e-50,1.3229328116463492e-44,3.968798434939048e-45,1.3229328116463492e-50
PSZ2 G299.54+17.83,188.3030423,-44.913305,2.610377,5.56949,,,,,1000.0,0.7593278894722004,2.3432858669112105e+22,8.894080474055395e+44,5.132727175652665e-50,5.132727175652665e-44,1.5398181526957994e-44,5.132727175652665e-50
PSZ2 G300.98+14.38,190.018033,-48.4394728,3.306748,6.43877,,,,,1000.0,0.9618940022289574,2.9684048908785627e+22,1.105559904559013e+45,3.1385988376222177e-50,3.138598837622218e-44,9.415796512866654e-45,3.1385988376222177e-50
PSZ2 G302.41+21.60,192.2170252,-41.2652725,5.449892,9.50365,,,,,1000.0,1.5853093213016467,4.892264565536882e+22,1.982501673145878e+45,1.2572067469372354e-50,1.2572067469372354e-44,3.771620240811706e-45,1.2572067469372354e-50
PSZ2 G302.85-88.63,12.861472,-28.4978061,3.443857,6.59417,,,,,1000.0,1.001777393630906,3.091485036744976e+22,1.1458245438406635e+45,2.8796494292698112e-50,2.879649429269811e-44,8.638948287809434e-45,2.8796494292698112e-50
PSZ2 G303.00+20.86,192.947158,-42.0057981,3.812623,4.62035,,,,,1000.0,1.1090470747877292,3.4225192727949326e+22,6.720324205005296e+44,1.2447308776511846e-50,1.2447308776511847e-44,3.7341926329535536e-45,1.2447308776511846e-50
PSZ2 G303.56+47.54,193.266544,-15.3252265,5.463769,4.95147,,,,,1000.0,1.589345976973301,4.904721684939607e+22,7.455540607991551e+44,4.6920105428013645e-51,4.6920105428013645e-45,1.4076031628404094e-45,4.692010542801365e-51
PSZ2 G303.72-48.28,11.4014892,-68.8511099,3.731846,5.05922,,,,,1000.0,1.0855499979563383,3.3500072936932603e+22,7.700222236243338e+44,1.5208589821686936e-50,1.5208589821686937e-44,4.562576946506081e-45,1.5208589821686936e-50
PSZ2 G303.75+33.70,193.6299912,-29.1681086,3.548235,10.47241,,,,,1000.0,1.0321397230750167,3.1851831854095017e+22,2.2932313327013354e+45,5.2694776763141e-50,5.2694776763141e-44,1.58084330289423e-44,5.2694776763141e-50
PSZ2 G303.98-18.29,199.3411141,-81.1126352,3.645577,4.75086,,,,,1000.0,1.0604553630829552,3.2725652504739997e+22,7.007066850676493e+44,1.4845480625667756e-50,1.4845480625667757e-44,4.453644187700327e-45,1.4845480625667756e-50
PSZ2 G304.44+32.48,194.3410909,-30.3669346,3.514346,12.40034,,,,,1000.0,1.022281812571544,3.154761673595785e+22,2.954801436571665e+45,6.987978797996605e-50,6.987978797996605e-44,2.0963936393989814e-44,6.987978797996605e-50
PSZ2 G304.65-31.66,354.9294876,-85.23156,2.343119,6.51703,,,,,1000.0,0.681585688600617,2.103373435021504e+22,1.1257773124868441e+45,8.983101021230066e-50,8.983101021230066e-44,2.69493030636902e-44,8.983101021230066e-50
PSZ2 G304.84-41.40,7.021233,-75.6330933,1.713647,10.20894,,,,,1000.0,0.4984797061153878,1.5383083730720868e+22,2.2072366002096677e+45,4.502374566457693e-49,4.502374566457693e-43,1.3507123699373078e-43,4.502374566457693e-49
